Pid,Uid,Catname,Region,Time,neighbors,forward_neighbors
1,[327],36,69,"[11, 8, 13, 10, 14, 12]","[4396, 1, 4195, 4740, 1371, 2406, 4663]","[4396, 1, 4195, 1371, 2406, 4740]"
2,"[970, 418, 224, 656, 810, 187, 750, 852, 93, 893, 285, 4, 161]",3,11,"[20, 23, 22, 17, 12, 16, 21, 11, 19, 14]","[652, 3687, 2205, 2850, 3834, 3332, 4111, 1893, 2752, 275, 3599, 4212, 4239, 1107, 1511, 3235, 906, 4386, 1106, 3881]","[4111, 2752, 3687, 3599, 4212, 2205, 2850, 3834, 4239, 1511, 906, 1106, 3332, 3881]"
3,"[389, 853, 484, 867, 532]",12,65,"[14, 0, 21, 22, 23, 1, 12, 17, 19, 2, 18, 13, 11, 15, 3, 16, 4]","[4343, 3, 3124, 2269, 2986, 2800, 1026, 2038, 2756, 948, 5029, 1765, 2025, 915, 3362, 2778, 2409, 3898, 2395, 462, 562, 873, 1865, 1115, 1428, 3198, 441, 263, 2246, 2822, 4430, 1956, 3116]","[4343, 3, 2986, 3124, 2800, 2038, 2756, 948, 1026, 5029, 3362, 2778, 2409, 1765, 2269, 2395, 562, 915, 1115, 441, 2246, 4430, 3116]"
4,"[218, 1074, 1070, 358, 305, 156, 240, 824, 242, 338, 449, 710, 129, 1082, 1019, 130, 484, 174, 699, 373, 436, 446, 923, 504, 1061, 655, 259, 306, 175]",142,67,"[6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 1]","[2905, 1080, 3711, 3040, 1788, 2112, 3367, 1399, 388, 5096, 1886, 2506, 621, 41, 2844, 470, 4392, 4484, 3352, 1011, 3663, 385, 1120, 1932, 3750, 234, 1938, 2960, 1858, 3353, 2514, 2385, 1460, 2473, 4097, 322, 4966, 165, 77, 4828, 3395, 2199, 3033, 5058, 3715, 4181, 2431, 4962, 2279, 1989, 2493]","[2905, 1080, 388, 1886, 621, 2844, 4392, 4484, 1011, 385, 3040, 1788, 1932, 234, 2960, 3353, 1460, 4097, 2112, 3367, 165, 4828, 2199, 3715, 2431, 2279, 2493]"
5,"[139, 42, 783, 64]",117,58,"[17, 6, 8, 11, 18, 7, 13, 12, 5, 10, 15, 9, 16, 19]","[5, 2683, 2768, 3235, 4393, 3651, 53, 549, 1865, 3832, 4170, 2806, 1900, 1795, 4386, 2127, 3812, 2265, 3864, 2805, 13, 1097, 2841, 2033, 3843, 4766, 554, 3037, 1722, 873, 2371, 3168, 2396, 2251, 3735, 4281, 1629, 2900, 786, 1021, 635, 2872, 1957, 2207, 2409, 2699, 3945, 63, 1785, 4573, 1880, 2576]","[5, 2768, 2683, 3651, 3235, 3832, 2806, 53, 3864, 2805, 1097, 549, 3843, 1865, 4170, 1722, 2371, 2396, 1900, 3735, 1629, 786, 1795, 2699, 3945, 4386, 2127, 4573, 3812, 4393, 2576]"
6,[995],129,58,"[19, 7, 12, 10, 13, 17, 11, 15, 9, 20, 22, 8, 23]","[1368, 89, 376, 282, 1547, 4352, 3674, 2115, 3461, 3389, 4007, 5109, 4997]","[1368, 376, 89, 1547, 282, 3674, 2115, 3461, 3389, 5109, 4997]"
7,"[62, 610, 596]",166,53,"[10, 14, 8, 12, 15, 13, 17, 16, 9, 11, 21]","[2978, 2629, 7, 301, 4872, 4508, 880, 723, 737, 4314, 3682, 3812, 3886, 2184, 1388, 3593, 3297, 2913, 2971, 3583, 2652, 4766, 251, 3448, 4426, 3780, 3702, 4431, 5004, 694, 4393]","[2978, 2629, 7, 880, 723, 4872, 737, 1388, 2913, 4314, 3583, 4766, 4426, 3682, 3702, 4431, 4508, 694]"
8,"[556, 315, 450, 610, 5, 518, 956, 101, 711, 776, 955, 76, 256, 531, 800, 52, 937, 839]",44,24,"[21, 23, 2, 1, 19, 17, 0, 22, 18]","[1496, 1133, 8, 4739, 4389, 1859, 2426, 4929, 4558, 2232, 1580, 201, 1688, 1710, 933, 1306, 3242, 651, 2989, 3259, 2451, 347, 3688, 1690, 2514, 1240, 3560, 1007, 3211, 1820, 1463, 3519, 5088, 762, 1159, 635, 3409, 3128, 4470, 2641]","[1496, 1859, 4929, 2232, 201, 1710, 1306, 651, 3259, 347, 8, 1690, 1240, 4739, 1007, 1820, 3519, 762, 635, 3128, 2641]"
9,[127],89,12,"[9, 22, 20, 2, 21, 12, 19, 18, 4, 11]","[9, 1512, 849, 4393, 1813, 3812, 3762, 1994, 2142, 3589, 1848, 3771, 574]","[9, 849, 1512, 1994, 1813, 3762, 2142, 3589, 1848, 3771, 574]"
10,"[322, 901, 270, 479, 504, 240, 861]",115,38,"[5, 8, 14, 0, 4, 19, 6, 15, 10, 13, 7, 18, 20, 16, 22, 11, 12, 17, 9]","[236, 10, 2634, 313, 4509, 3291, 382, 511, 4520, 4893, 3525, 5011, 4930, 1747, 115, 2271, 767, 129, 1311, 432, 4480, 2517, 1680, 4780, 333, 3758, 4328, 1572, 1358, 3904, 1899, 3568, 2152, 2306, 2993, 576, 2407, 2511, 1398, 4625, 547, 4943, 4673, 2420, 4610, 492, 2112, 2488, 1724, 831, 4559, 2781, 2720, 1291]","[10, 313, 236, 2634, 3291, 511, 4520, 3525, 4509, 382, 115, 5011, 1747, 4930, 3904, 1311, 1899, 2152, 2306, 4480, 4893, 2511, 4625, 547, 4673, 2420, 492, 1724, 4559, 1680, 2781, 1291, 4780]"
11,"[259, 1031, 517, 513, 254, 838, 991, 659, 178, 827]",12,54,"[20, 1, 23, 18, 22, 0, 2, 21, 19]","[4040, 3642, 1772, 3760, 1264, 1904, 3646, 1515, 3040, 3838, 1517, 4774, 3874, 261, 4067, 685, 3751, 1225, 667, 3648, 2644, 4370, 1766, 3413, 4701]","[4040, 1772, 1264, 3646, 3040, 1517, 3874, 4067, 3751, 667, 2644, 4701]"
12,"[648, 78, 235, 978, 851, 682, 687, 574, 995, 885, 254, 260, 986, 712, 17, 222, 405, 737, 140, 985, 994, 29, 522, 30, 880, 764, 97, 146, 150, 426, 431, 1004, 1082, 403, 14, 465, 240, 876, 1024, 850, 343, 366, 772, 360, 651, 584, 486, 630, 534, 805, 406, 353, 503, 456, 166, 962, 249, 142, 374]",120,54,"[22, 13, 6, 17, 20, 14, 19, 11, 18, 21, 9, 0, 8, 7, 10, 23, 15, 16, 1, 12, 5, 3, 2, 4]","[339, 3297, 12, 2123, 4660, 800, 1987, 3848, 396, 2239, 3227, 3519, 2339, 1200, 3619, 3116, 3532, 2278, 4796, 4529, 3226, 114, 2561, 3967, 3087, 399, 3402, 4000, 4766, 608, 175, 3624, 1343, 591, 1010, 2196, 1002, 1711, 958, 1371, 2479, 2043, 3711, 107, 1596, 4311, 4862, 4489, 3551, 1621, 81, 3359, 1565, 5074, 3245, 3789, 2487, 3522, 1226, 2280, 547, 123, 4521, 2346, 3380, 1718, 2309, 4573, 2039, 4942, 557, 4692, 2151, 4115, 2396, 849, 3352, 908, 1874, 4078, 1570, 2807, 363, 2729, 1805, 3423, 3335, 3257, 2141, 1962, 424, 4426, 4618, 3984, 3480, 3900, 3607, 25, 3295, 2618, 4386, 1644, 3752, 3150, 4816, 4432, 2029, 3608, 2377, 2015, 3586, 785, 2665, 2591, 3772, 3950, 4803, 1959, 645, 67, 2708, 2478, 623, 4368, 3704, 478, 4200, 1641, 1381, 3812, 2402, 3562, 685, 3818, 2552, 4742, 839, 99, 4944, 4534, 64, 4911, 3433, 2718, 1532, 4595, 754, 1629, 4461, 2351, 3032, 13, 4531, 786, 3058, 1077, 3461, 1264, 3066, 1938, 2546, 4879, 3217, 1197, 1646, 3059, 1574, 2788, 3437, 4438, 925, 2356, 661, 4874, 1424, 444, 3448, 3898, 2714, 4948]","[339, 12, 1987, 3297, 2339, 396, 800, 3227, 3619, 4660, 2123, 3519, 4000, 608, 1343, 1200, 2239, 3116, 958, 3848, 4529, 3226, 81, 3359, 3087, 399, 2487, 1226, 2280, 123, 4766, 2346, 175, 1718, 3624, 4573, 3532, 4692, 2396, 3352, 1874, 591, 2807, 2729, 3423, 3257, 1962, 4426, 4618, 4796, 2278, 3480, 2196, 3607, 3295, 4386, 1711, 1371, 2479, 1644, 2043, 4432, 3608, 3711, 107, 2015, 785, 2591, 1596, 3950, 1959, 645, 67, 2478, 4368, 478, 4200, 1381, 3812, 3562, 4489, 2552, 99, 3967, 4911, 2718, 754, 4461, 1621, 2351, 4862, 13, 1002, 1077, 1565, 3461, 3066, 1938, 3245, 4879, 3217, 1197, 3059, 1574, 3437, 3789, 925, 2356, 4874, 444, 3898, 4948]"
13,"[876, 42, 967, 917, 360]",104,54,"[14, 12, 13]","[2215, 4489, 3345, 2805, 5, 2801, 2532, 4735, 3961, 12, 2585, 1820, 1460, 2372, 5134, 4104, 1525, 4422, 1994]","[4489, 5, 2532, 3961, 2215, 3345, 2372, 5134, 1525, 1994]"
14,"[163, 575, 395, 595, 560, 150, 892, 269, 303, 918, 710, 839, 529, 792]",90,54,"[16, 21, 15, 14, 20, 19, 8, 0, 23, 11]","[3594, 2859, 3185, 3231, 4451, 3519, 4327, 1576, 1735, 567, 4904, 1097, 3671, 5028, 223, 2744, 101, 617, 4204, 1235, 4760, 2668, 1759, 1430, 3100, 2854, 730, 839, 4817]","[3594, 4327, 1576, 1735, 4904, 2859, 3231, 5028, 2744, 617, 1235, 2668, 1430, 2854, 839, 4451, 3185, 4817]"
15,"[254, 178]",70,54,"[12, 15, 11, 9, 19, 10, 13, 8, 14]","[3646, 130, 15, 1322, 1404, 4771, 221, 2237, 3042, 4515, 3812, 4148, 689, 4489, 4173]","[3646, 221, 130, 15, 1322, 3042, 4515, 3812, 1404, 4489, 4173]"
16,[1061],67,91,"[0, 21, 19, 20, 4, 18, 23, 22, 7, 10, 1, 6, 5, 17, 2]","[3609, 4181, 1182, 16, 1751, 2079, 876, 1714, 3129, 2408, 2431, 1990, 4913, 5104, 1959, 3604, 547, 1175, 865, 2239, 1332, 2905, 2015, 1413, 438, 669, 1923, 3122, 1926, 3974, 3161, 2040, 505, 3080, 3192, 3541, 4595]","[3609, 16, 3129, 1182, 4181, 1751, 5104, 876, 1959, 2408, 1175, 865, 1332, 2905, 1714, 2431, 2015, 438, 669, 2079, 1926, 3161, 505, 3541]"
17,[735],95,58,"[14, 19, 16, 20, 10, 12, 9, 15, 17, 18]","[3339, 3406, 308, 222, 4994, 2173, 2255, 3822, 3443, 3776, 3644, 3421, 2331, 2488, 3978, 252, 2409, 3591, 1506, 3767, 3170]","[3339, 2255, 2173, 3443, 3421, 3406, 3978, 252, 222, 308, 2409, 4994, 3591, 1506, 3822, 3767, 3170]"
18,[659],129,54,[8],"[4464, 1248, 3115, 3752, 3642, 4196, 3824, 1965]","[4464, 4196, 1965]"
19,[132],70,24,"[9, 10, 8, 11]","[19, 2804, 3717, 603, 1197, 3455, 995, 1756, 1106, 1517, 4833, 4995, 4473, 652, 1592]","[19, 2804, 3455, 995, 1197, 3717, 603, 1756, 1517, 4473, 1106]"
20,"[683, 774, 217, 998, 919, 1002, 88, 983]",12,67,"[18, 1, 12, 22, 21, 0, 23, 19]","[352, 1927, 4559, 1202, 4164, 3621, 4083, 706, 1919, 1769, 1123, 809, 4489, 1503, 2153, 319, 3167, 1197, 1914, 68]","[3621, 706, 1769, 809, 1927, 4559, 1503, 1202, 2153, 352, 319, 1197, 68]"
21,[286],67,23,"[21, 13, 1, 11, 3, 23, 15, 14, 10, 0, 12, 20, 18, 22]","[4090, 587, 2482, 499, 207, 4953, 82, 21, 2679, 2795, 27, 1184, 4041, 3193, 1407, 3155]","[587, 499, 4953, 207, 82, 2679, 2482, 4090, 21, 2795, 1184, 4041, 3193, 1407, 3155]"
22,"[635, 713, 588, 704, 57, 507, 549, 649, 737, 460, 879, 604, 666, 936, 1031, 1068, 189, 395, 998, 595, 745, 67, 81, 112, 65, 606, 555, 702, 607, 455]",82,54,"[16, 18, 7, 19, 13, 8, 12, 10, 15, 20, 22, 11, 17, 3, 21, 9, 23, 5, 6]","[3519, 3581, 284, 1996, 385, 839, 4204, 3497, 526, 4399, 1120, 2531, 841, 3015, 1596, 1880, 2608, 2808, 4925, 1349, 4164, 1464, 2953, 546, 85, 4536, 1902, 2089, 1314, 1235, 5034, 2507, 779, 2865, 1030, 4331, 441, 4489, 4087, 1371, 4401, 363, 5029, 549, 2660, 3812, 3167, 352, 2173, 4370, 1906, 4862]","[3519, 1996, 284, 3581, 4399, 4204, 3015, 1596, 1880, 2808, 1349, 385, 526, 85, 4536, 2089, 1235, 2507, 2865, 1120, 4331, 441, 2531, 4087, 1371, 363, 5029, 2660, 3812, 352, 4370, 4862]"
23,"[279, 61, 674]",9,65,"[15, 0, 12, 13, 3, 21, 23, 20, 19, 11, 18]","[2326, 4143, 450, 3077, 31, 1473, 3233, 2884, 4572, 1468, 644, 1466, 194, 1328, 683, 408, 3547, 612, 1232]","[2326, 4572, 1468, 1466, 1328, 450, 3547, 1232, 31, 1473, 3077]"
24,"[122, 923]",115,78,"[3, 2, 15, 19, 7, 10]","[522, 3634, 1999, 162, 3033, 4310, 2820, 4120, 2678, 4942, 3007, 2905, 1958]","[3634, 162, 1999, 3033, 522, 4120, 3007, 1958]"
25,"[691, 961, 406, 262, 434, 1028, 912, 876, 471, 1036]",12,67,"[18, 21, 1, 23, 13, 19, 20, 16, 0]","[3295, 25, 2523, 2434, 385, 374, 2300, 2223, 1485, 4489, 5082, 1124, 3856, 4701, 12, 819, 3192, 2966, 1517, 3367, 4094, 3286, 4453, 3116, 4292, 5099, 4978, 1041, 1206, 178, 1197, 1460, 2777, 4324, 1503, 3345, 1801]","[3295, 2523, 374, 2223, 25, 4489, 1124, 12, 2966, 3367, 3286, 3116, 5099, 1041, 178, 1197, 2434, 1503, 1801]"
26,"[359, 1013, 552, 312, 972, 995, 631, 692]",85,67,"[14, 11, 23, 10, 21, 16, 15]","[2691, 2409, 2787, 2760, 5106, 3194, 3607, 1446, 3812, 4853, 2539, 726, 547, 2893, 3514, 124, 2992, 531, 1495]","[2787, 2691, 3194, 3607, 3812, 2539, 547, 3514, 2992, 1495]"
27,[286],67,19,"[18, 15, 16, 19, 10, 12, 20, 17, 13, 14]","[4369, 2679, 3193, 2482, 4953, 4090, 4041, 3724, 21, 3155, 1184, 1117, 4759, 4726, 2100, 404]","[2679, 2482, 4369, 4953, 4090, 4041, 3724, 21, 3155, 1184, 1117, 4759, 4726, 2100, 404]"
28,"[463, 569, 292, 356, 47, 847, 105, 924, 833, 209, 733, 274, 259, 509, 45, 1007, 423, 706, 467, 585, 745]",12,24,"[20, 23, 10, 16, 18, 17, 21, 19, 8, 9, 13]","[3704, 4103, 28, 2494, 3648, 1766, 775, 1733, 4844, 1133, 3382, 3040, 2868, 546, 4233, 4590, 4059, 2312, 3711, 2770, 3634, 2713, 3440, 718, 4831, 1842, 2961, 1297, 1718, 2013, 3354, 836, 3264, 3128, 4560, 1460, 580, 3519, 1569, 894, 4914, 441, 297, 4430, 4632, 2223]","[3704, 1766, 1733, 3382, 2868, 4103, 4233, 28, 4059, 3711, 3634, 3440, 4831, 2961, 1718, 3354, 3128, 2494, 580, 894, 441, 4430, 2223]"
29,"[994, 85, 471, 459, 727, 354, 696, 179, 494, 372, 380, 836, 431, 1056, 649, 729, 167, 500, 986, 843, 650]",57,24,"[8, 11, 15, 12, 21, 19, 17, 16, 22, 13, 20, 14, 18]","[2780, 3989, 2889, 4371, 875, 2881, 4133, 1571, 1436, 642, 805, 1759, 1775, 611, 38, 3060, 3367, 627, 211, 1503, 2385, 4068, 2151, 2726, 516, 1087, 4560, 4821, 3975, 2721, 479, 314, 1696, 633, 1704, 4579, 4449, 3521, 4348, 844, 1973, 5008, 623, 666, 533, 4139]","[3989, 4371, 2889, 2881, 1571, 1436, 805, 1775, 38, 3367, 211, 2385, 2780, 2726, 1087, 4560, 4821, 2721, 314, 633, 4579, 3521, 844, 5008, 666, 4139]"
30,"[832, 994, 953, 870, 620, 88]",82,74,"[19, 8, 5, 9, 11, 13, 7, 20, 14, 6, 10, 0, 23, 1, 12, 15]","[1510, 2488, 356, 3932, 4164, 4321, 4637, 690, 3562, 3254, 5071, 4948, 692, 2824, 3588, 4008, 3789, 3352, 107, 276, 3996, 236, 4368, 2442, 339]","[1510, 356, 690, 2488, 4164, 3254, 4637, 4948, 2824, 3562, 3789, 276, 236, 4368, 339]"
31,"[674, 158]",203,65,"[15, 14, 16, 13, 7, 9, 18, 23, 20, 22, 21, 6, 17, 8]","[1473, 541, 31, 4364, 1253, 1143, 23, 4330, 3077, 2204, 1981, 3493, 1653, 3582, 656, 981, 1745, 3604, 2070]","[1473, 31, 4364, 541, 1253, 1653, 4330, 3582, 981, 3077, 2204, 1143, 1745, 23, 2070]"
32,"[329, 290]",90,91,"[13, 11, 10, 19, 8]","[1957, 1836, 1180, 4276, 1775, 3494, 614, 549, 3812, 4193, 1051, 1839]","[1957, 4276, 1836, 1775, 614, 3812, 1839]"
33,"[97, 733, 306, 1003, 327, 248, 688, 715, 932, 590, 462]",61,74,"[14, 18, 12, 23, 8, 10, 15, 19, 20, 17, 16, 13]","[465, 2294, 4725, 1665, 4579, 36, 789, 3287, 4072, 2784, 3685, 4195, 3416, 825, 4176, 1236, 3798, 160, 1783, 35, 4399, 1197, 2039, 2781, 75, 807]","[465, 4579, 789, 3287, 2784, 4195, 825, 1236, 160, 1783, 2294, 35, 1197, 2781, 807, 1665]"
34,"[935, 643, 518, 232, 71, 1056, 398, 943, 541, 213, 164, 847, 892, 639, 123, 113, 1043, 195, 579, 129, 295, 76, 439, 231, 914, 1036]",61,54,"[9, 15, 18, 10, 11, 12, 17, 16, 3, 13, 8, 1, 14, 21, 19]","[347, 71, 34, 1195, 3851, 4451, 1321, 4942, 1097, 219, 1668, 1719, 1690, 4728, 3259, 726, 1608, 3490, 3363, 4508, 3139, 1775, 3185, 3505, 1399, 3818, 3171, 4105, 3116, 2729, 3173, 2252, 4764, 3436, 2747, 3281, 3130, 198, 1754, 2075, 2827, 1880, 195, 1707, 784, 4309, 4914, 815, 1660, 441, 4821, 770, 1405, 1948, 1344, 3838, 634, 2237, 4772, 633, 1963, 776, 1503, 2487]","[347, 71, 3851, 34, 1195, 219, 1719, 4451, 1097, 3139, 3185, 3818, 4105, 2729, 2252, 1690, 2747, 3130, 198, 3259, 2075, 1668, 195, 1707, 4309, 815, 441, 770, 4728, 3838, 4942, 634, 2237, 4772, 633, 1608, 776, 2487]"
