Uid,Pid,Time
626,3963,2012-04-03 14:00
78,3297,2012-04-03 14:00
1077,3921,2012-04-03 14:02
254,2314,2012-04-03 14:03
503,4919,2012-04-03 14:04
763,4174,2012-04-03 14:06
1023,1565,2012-04-03 14:08
565,4549,2012-04-03 14:09
987,1098,2012-04-03 14:09
144,2256,2012-04-03 14:10
735,17,2012-04-03 14:10
178,3094,2012-04-03 14:11
1044,135,2012-04-03 14:12
591,4225,2012-04-03 14:13
880,4660,2012-04-03 14:13
503,3316,2012-04-03 14:14
140,3629,2012-04-03 14:14
1019,2213,2012-04-03 14:14
563,441,2012-04-03 14:15
156,3948,2012-04-03 14:15
19,1629,2012-04-03 14:16
735,3339,2012-04-03 14:16
119,1327,2012-04-03 14:16
1062,1097,2012-04-03 14:17
1027,3122,2012-04-03 14:18
992,1741,2012-04-03 14:19
992,1741,2012-04-03 14:19
1062,2487,2012-04-03 14:19
632,1204,2012-04-03 14:19
90,3469,2012-04-03 14:24
632,2846,2012-04-03 14:24
396,1558,2012-04-03 14:26
357,2141,2012-04-03 14:27
61,3121,2012-04-03 14:33
61,4143,2012-04-03 14:34
530,1546,2012-04-03 14:35
712,2049,2012-04-03 14:36
262,1334,2012-04-03 14:37
40,1589,2012-04-03 14:39
646,470,2012-04-03 14:39
472,4732,2012-04-03 14:39
270,2294,2012-04-03 14:42
735,3170,2012-04-03 14:44
928,3852,2012-04-03 14:47
352,1327,2012-04-03 14:49
493,445,2012-04-03 14:51
579,4250,2012-04-03 14:52
115,3959,2012-04-03 14:55
591,2627,2012-04-03 14:56
547,2265,2012-04-03 14:57
306,552,2012-04-03 14:57
528,2365,2012-04-03 14:58
600,4475,2012-04-03 15:00
928,618,2012-04-03 15:00
212,3993,2012-04-03 15:01
898,3584,2012-04-03 15:01
1059,485,2012-04-03 15:01
116,4288,2012-04-03 15:03
207,3842,2012-04-03 15:03
969,5091,2012-04-03 15:07
63,5025,2012-04-03 15:08
493,1071,2012-04-03 15:09
53,3540,2012-04-03 15:11
567,4393,2012-04-03 15:14
921,2020,2012-04-03 15:14
53,597,2012-04-03 15:14
53,2682,2012-04-03 15:15
903,1260,2012-04-03 15:15
658,2715,2012-04-03 15:18
644,2949,2012-04-03 15:19
86,3185,2012-04-03 15:20
735,1506,2012-04-03 15:20
62,2629,2012-04-03 15:21
86,2886,2012-04-03 15:21
109,429,2012-04-03 15:21
996,5076,2012-04-03 15:24
759,118,2012-04-03 15:25
267,1864,2012-04-03 15:26
157,4772,2012-04-03 15:29
157,1361,2012-04-03 15:29
