Original_Uid,Mapped_Uid
46,1
608,2
452,3
811,4
782,5
63,6
946,7
93,8
172,9
407,10
817,11
662,12
850,13
160,14
1022,15
616,16
163,17
168,18
230,19
406,20
585,21
601,22
866,23
117,24
286,25
284,26
983,27
936,28
1082,29
130,30
947,31
705,32
147,33
599,34
571,35
796,36
498,37
36,38
45,39
281,40
1078,41
970,42
530,43
209,44
686,45
326,46
492,47
847,48
981,49
991,50
868,51
711,52
706,53
251,54
1019,55
398,56
260,57
728,58
481,59
959,60
768,61
784,62
1054,63
4,64
547,65
427,66
972,67
456,68
802,69
44,70
283,71
913,72
59,73
1060,74
831,75
676,76
352,77
979,78
413,79
1079,80
973,81
242,82
574,83
1014,84
680,85
793,86
500,87
310,88
703,89
751,90
714,91
274,92
746,93
478,94
357,95
1076,96
424,97
987,98
824,99
447,100
273,101
347,102
155,103
910,104
949,105
179,106
958,107
176,108
734,109
830,110
869,111
220,112
20,113
488,114
1016,115
504,116
124,117
739,118
834,119
919,120
72,121
770,122
550,123
524,124
815,125
339,126
141,127
157,128
171,129
682,130
937,131
307,132
681,133
1074,134
692,135
340,136
3,137
798,138
373,139
443,140
394,141
77,142
54,143
53,144
604,145
870,146
288,147
254,148
832,149
459,150
495,151
626,152
816,153
539,154
272,155
390,156
615,157
627,158
241,159
64,160
867,161
820,162
557,163
393,164
941,165
787,166
297,167
194,168
759,169
360,170
38,171
96,172
774,173
865,174
50,175
957,176
917,177
135,178
588,179
159,180
289,181
169,182
634,183
10,184
26,185
422,186
383,187
939,188
211,189
1067,190
1069,191
1020,192
1051,193
436,194
763,195
1066,196
810,197
174,198
862,199
1023,200
1017,201
969,202
466,203
292,204
902,205
115,206
226,207
523,208
637,209
218,210
967,211
217,212
119,213
775,214
320,215
667,216
351,217
418,218
388,219
502,220
277,221
514,222
755,223
83,224
250,225
963,226
600,227
669,228
766,229
664,230
377,231
984,232
108,233
665,234
338,235
905,236
317,237
103,238
879,239
976,240
6,241
708,242
877,243
1063,244
198,245
994,246
572,247
583,248
154,249
219,250
165,251
215,252
995,253
87,254
595,255
186,256
468,257
611,258
129,259
951,260
472,261
839,262
564,263
499,264
589,265
355,266
294,267
538,268
